code,title,semester,year,lecturer,faculty
REN2261,Introduction of Electric Machines,SPRING,2025,Engr. Colbert,ICT
MTH1223,Real Analysis II Group 1,SPRING,2025,Engr. Andrew,ICT
ACC3217,Financial Accounting,SPRING,2025,Mrs Talla Vanessa,BMS
BNF4229,Financial Management,SPRING,2025,Mr. Ayuk Collins,BMS
SEN3243,Advanced Web Development,SPRING,2025,Engr Tanwi,ICT
BMS3234,Fundamental Principles of Taxation (ECOWAS/CEMAC),SPRING,2025,Mr. Ayuk Collins,BMS
MTH1222,Linear Algebra Group 1,SPRING,2025,Engr. Tanwi,ICT
REN2263,Chemistry 1,SPRING,2025,Engr. Colbert,ICT
ICT2231,Operating Systems Group 1,SPRING,2025,Engr. Tanwi,ICT
ECN1242,Principles of Macroeconomics,SPRING,2025,Mr. Ekane Lesley,BMS
REN2265,Power Quality and Power System Protection,SPRING,2025,Engr. Colbert,ICT
ISN3231,Network Management,SPRING,2025,Prof. Tonye,ICT
MTH1223,Real Analysis II Group 2,SPRING,2025,Engr. Andrew,ICT
JMC1272,Communicative French II,SPRING,2025,Dr. Nkandeu,BMS
ICT3212,Advanced Database Systems,SPRING,2025,Engr. Tanwi,ICT
BMS3233,Business Law,SPRING,2025,Dr. Ngome-Nkwelle,BMS
JMC2271,Mobile Application Development for Journalists,SPRING,2025,Dr. Nkandeu,BMS
JMC1276,Ergonomics and Design Thinking for Journalists,SPRING,2025,Mr Serh Jeff,BMS
ISN1231,Introduction to Networking Group 2,SPRING,2025,Engr. Andrew,ICT
JMC1275,Algorithms and Programming Essentials in Python,SPRING,2025,Dr. Keyampi,BMS
CSC1221,Object Oriented Programming with C++ Group 1,SPRING,2025,Mr. Serh,ICT
CSC1221,Object Oriented Programming with C++ Group 1,SPRING,2025,Dr Nkandeu,ICT
ACC4214,Forensic Accounting and Auditing,SPRING,2025,Mrs Talla Vanessa,BMS
ECN2243,Statistics for Business and Economics,SPRING,2025,Dr. Ndah Grimbald,BMS
SEN3242,Android Application Development,SPRING,2025,Engr. Moune,ICT
JMC2272,Newspaper Editing and Printing,SPRING,2025,Mr. Betangacho,BMS
REN2262,Installation of Solar Panel for Electrification,SPRING,2025,Dr. Nkandeu,ICT
ISN1231,Introduction to Networking Group 1,SPRING,2025,Engr. Andrew,ICT
BNF3226,Financial Institutions and Instruments,SPRING,2025,Ms. Tarbot Chelsea,BMS
BUS2230,Introduction to E-Commerce,SPRING,2025,Mr. Fobuteh Silbrid,BMS
CVE2200,Civics and Ethics Group 1,SPRING,2025,Dr. Nkwelle-Ngome,BMS
CYS3251,Network/Computer Forensics,SPRING,2025,Engr. Moune,ICT
JMC2273,Radio and TV Programme Writing,SPRING,2025,Mr. Betangacho,BMS
JMC2274,Digital TV Production II,SPRING,2025,Dr. Gilles Yumo,BMS
ACC1212,Accounting Information Systems,SPRING,2025,Mr. Njabe Charles,BMS
REN2264,Energy Storage Technology,SPRING,2025,Engr. Ndifoashi,ICT
MTH1222,Linear Algebra Group 2,SPRING,2025,Engr. Tanwi,ICT
MTH2222,Computational Mathematics Group 1,SPRING,2025,Engr. Andrew,ICT
JMC2275,Digital Radio Production II,SPRING,2025,Dr. Gilles Yumo,BMS
REN2266,Environmental Impact Assessment,SPRING,2025,Engr. Ndifoashi,ICT
BUS1210,KNOWLEDGE LEADERSHIP & AFRICAN DEVELOPMENT Group 1,SPRING,2025,Prof. Jean-Emmanuel Pondi,BMS
JMC1271,Technical Writing for Journalists,SPRING,2025,Dr. Yong,BMS
BNF4228,Investment Analysis,SPRING,2025,Mr. Ekane Lesley,BMS
